rank,title,releasedOn,studio,genre,rating,revenue,tickets
79,Resident Evil: Retribution,9/14/12,Sony Pictures,Action,R,42345531,5319790
80,The Cabin in the Woods,4/13/12,Lionsgate,Thriller/Suspense,R,42073277,5285587
81,The Descendants,12/9/11,Fox Searchlight,Drama,R,41248398,5181959
82,What to Expect When You're Expecting,5/18/12,Lionsgate,Romantic Comedy,PG-13,41152203,5169874
83,End of Watch,9/21/12,Open Road,Thriller/Suspense,R,40824713,5128732
84,Finding Nemo 3D,9/14/12,Walt Disney,Adventure,G,40767633,5121561
85,The Artist,1/20/12,Weinstein Co.,Drama,PG-13,38689594,4860501
86,Rock of Ages,6/15/12,Warner Bros.,Musical,R,38518613,4839021
87,Abraham Lincoln: Vampire Hunter,6/22/12,20th Century Fox,Horror,R,37519139,4713459
88,Lawless,8/29/12,Weinstein Co.,Drama,R,37397291,4698152
89,The Girl with the Dragon Tattoo,12/20/11,Sony Pictures,Thriller/Suspense,R,36979879,4645713
90,That's My Boy,6/15/12,Sony Pictures,Comedy,R,36931089,4639584
91,Trouble with the Curve,9/21/12,Warner Bros.,Drama,PG-13,35763137,4492856
92,Step Up Revolution,7/27/12,Lionsgate,Drama,PG-13,35074677,4406366
93,Tyler Perry's Good Deeds,2/24/12,Lionsgate,Drama,PG-13,35025791,4400225
94,Frankenweenie,10/5/12,Walt Disney,Comedy,PG,34485378,4332333
95,The Watch,7/27/12,20th Century Fox,Comedy,R,34353000,4315703
96,2016: Obama's America,7/13/12,Rocky Mountain Pictures,Documentary,PG,33349941,4189691
97,War Horse,12/25/11,Walt Disney,Drama,PG-13,31658147,3977154
98,House at the End of the Street,9/21/12,Relativity,Horror,PG-13,31611916,3971346
99,Extremely Loud and Incredibly Close,12/25/11,Warner Bros.,Drama,PG-13,31448337,3950796
100,Silver Linings Playbook,11/16/12,Weinstein Co.,Drama,R,31060059,3902017
101,The Pirates! Band of Misfits,4/27/12,Sony Pictures,Adventure,PG,31051126,3900895
102,Alvin and the Chipmunks: Chipwrecked,12/16/11,20th Century Fox,Comedy,G,31018935,3896851
103,Joyful Noise,1/13/12,Warner Bros.,Musical,PG-13,30932113,3885943
104,The Iron Lady,1/13/12,Weinstein Co.,Drama,PG-13,29615141,3720495
105,Chimpanzee,4/20/12,Walt Disney,Documentary,G,28965459,3638876
106,The Five-Year Engagement,4/27/12,Universal,Romantic Comedy,R,28700285,3605563
107,We Bought a Zoo,11/26/11,20th Century Fox,Drama,PG,27530441,3458598
108,Cloud Atlas,10/26/12,Warner Bros.,Drama,R,26800689,3366920
109,The Guilt Trip,12/19/12,Paramount Pictures,Comedy,PG-13,26676934,3351373
110,One for the Money,1/27/12,Lionsgate,Comedy,PG-13,26414527,3318407
111,Alex Cross,10/19/12,Lionsgate,Thriller/Suspense,PG-13,25888412,3252313
112,Katy Perry: Part of Me 3D,7/5/12,Paramount Pictures,Concert/Performance,PG,25326071,3181667
113,Sparkle,8/17/12,Sony Pictures,Drama,PG-13,24397469,3065008
114,"Monsters, Inc. 3D",12/19/12,Walt Disney,Adventure,G,23993649,3014277
115,Hugo,11/23/11,Paramount Pictures,Adventure,PG,22834350,2868636
116,The Adventures of Tintin,12/21/11,Paramount Pictures,Adventure,PG,22311556,2802959
117,Premium Rush,8/24/12,Sony Pictures,Thriller/Suspense,PG-13,20275446,2547166
118,Big Miracle,2/3/12,Universal,Drama,PG,20157300,2532324
119,Tinker Tailor Soldier Spy,1/6/12,Focus Features,Thriller/Suspense,R,19498244,2449528
120,The Secret World of Arrietty,2/17/12,Walt Disney,Adventure,G,19192510,2411119
121,Haywire,1/20/12,Relativity,Thriller/Suspense,R,18942396,2379697
122,Man on a Ledge,1/27/12,Lionsgate,Thriller/Suspense,PG-13,18620000,2339195
123,A Thousand Words,3/9/12,Paramount Pictures,Comedy,PG-13,18450127,2317855
124,Chernobyl Diaries,5/25/12,Warner Bros.,Horror,R,18119640,2276336
125,Raiders of the Lost Ark,9/7/12,Paramount Pictures,Adventure,PG,17830891,2240061
126,Silent Hill: Revelation 3D,10/26/12,Open Road,Horror,R,17530219,2202288
127,The Perks of Being a Wallflower,9/21/12,Lionsgate,Drama,PG-13,17398290,2185714
128,Wanderlust,2/24/12,Universal,Comedy,R,17288155,2171878
129,Safe,4/27/12,Lionsgate,Action,R,17142080,2153527
130,To Rome with Love,6/22/12,Sony Pictures Classics,Romantic Comedy,R,16684352,2096024
131,The Raven,4/27/12,Relativity,Thriller/Suspense,R,16008272,2011089
132,The Master,9/14/12,Weinstein Co.,Drama,R,15933452,2001689
133,The Man with the Iron Fists,11/2/12,Universal,Action,R,15634090,1964081
134,Seven Psychopaths,10/12/12,CBS Films,Comedy,R,15024049,1887443
135,Killing Them Softly,11/30/12,Weinstein Co.,Thriller/Suspense,R,14863824,1867314
136,Lockout,4/13/12,Open Road,Thriller/Suspense,PG-13,14326865,1799857
137,Hit & Run,8/22/12,Open Road,Comedy,R,13749300,1727298
138,Dredd,9/21/12,Lionsgate,Action,R,13414714,1685265
139,The Intouchables,5/25/12,Weinstein Co.,Comedy,R,13094646,1645056
140,Playing for Keeps,12/7/12,FilmDistrict,Romantic Comedy,PG-13,12798463,1607847
141,Silent House,3/9/12,Open Road,Horror,R,12739737,1600469
142,People Like Us,6/29/12,Walt Disney,Drama,PG-13,12431792,1561782
143,Gone,2/24/12,Lionsgate,Thriller/Suspense,PG-13,11682205,1467613
144,The Words,9/7/12,CBS Films,Drama,PG-13,11494838,1444075
145,Beasts of the Southern Wild,6/27/12,Fox Searchlight,Drama,PG-13,11249128,1413207
146,Anna Karenina,11/16/12,Focus Features,Drama,R,11173609,1403719
147,To the Arctic 3D,4/20/12,Warner Bros.,Documentary,G,10585125,1329789
148,Cirque du Soleil: Worlds Away,12/21/12,Paramount Pictures,Drama,PG,9592930,1205141
149,Fun Size,10/26/12,Paramount Pictures,Comedy,PG-13,9409538,1182102
150,Bernie,4/27/12,Millennium Entertainment,Black Comedy,PG-13,9204489,1156342
151,Salmon Fishing in the Yemen,3/9/12,CBS Films,Drama,PG-13,9041540,1135871
152,Arbitrage,9/14/12,Roadside Attractions,Thriller/Suspense,R,7913437,994150
153,Friends with Kids,3/9/12,Roadside Attractions,Romantic Comedy,R,7251073,910938
154,Seeking a Friend for the End of the World,6/22/12,Focus Features,Comedy,R,7078738,889288
155,In Darkness,2/10/12,Sony Pictures Classics,Drama,R,6994218,878670
156,A Separation,12/30/11,Sony Pictures Classics,Drama,PG-13,6993084,878528
157,The Collection,11/30/12,LD Distribution,Horror,R,6810754,855622
158,Born to be Wild 3D,4/8/11,Warner Bros.,Documentary,G,6420519,806597
159,Chasing Mavericks,10/26/12,20th Century Fox,Drama,PG,5957259,748399
160,Casa de mi Padre,3/16/12,Pantelion Films,Comedy,R,5909483,742397
161,The Darkest Hour,12/25/11,Summit Entertainment,Action,PG-13,5877205,738342
162,New Year's Eve,12/9/11,Warner Bros.,Romantic Comedy,PG-13,5783841,726613
163,For Greater Glory,6/1/12,ARC Entertainment,Action,R,5669081,712196
164,The Sessions,10/19/12,Fox Searchlight,Drama,R,5574991,700375
165,Hitchcock,11/23/12,Fox Searchlight,Drama,PG-13,5337378,670524
166,Won't Back Down,9/28/12,20th Century Fox,Drama,PG,5310554,667155
167,October Baby,3/23/12,Five & Two Pictures,Drama,PG-13,5203895,653755
168,Hubble 3D,3/19/10,Warner Bros.,Documentary,G,5020006,630654
169,My Week with Marilyn,11/23/11,Weinstein Co.,Drama,R,4966392,623918
170,The Apparition,8/24/12,Warner Bros.,Horror,PG-13,4936819,620203
171,The Muppets,11/23/11,Walt Disney,Comedy,PG,4423016,555655
172,"The Twilight Saga: Breaking Dawn, Part 1",11/18/11,Summit Entertainment,Drama,PG-13,4343495,545665
173,Jeff Who Lives at Home,3/16/12,Paramount Vantage,Comedy,R,4269426,536360
174,Goon,2/24/12,Alliance Films,Comedy,R,4164911,523230
175,The Raid: Redemption,3/23/12,Sony Pictures Classics,Action,R,4105123,515718
176,Safety Not Guaranteed,6/8/12,FilmDistrict,Comedy,R,4010957,503889
177,A Dangerous Method,11/23/11,Sony Pictures Classics,Drama,R,3905185,490601
178,The Cold Light of Day,9/7/12,Lionsgate,Thriller/Suspense,PG-13,3763583,472811
179,Bully,3/30/12,Weinstein Co.,Documentary,PG-13,3483795,437662
180,Nitro Circus: The Movie 3D,8/8/12,ARC Entertainment,Documentary,PG-13,3377000,424246
181,Hysteria,5/18/12,Sony Pictures Classics,Romantic Comedy,R,3337194,419245
182,Atlas Shrugged: Part II,10/12/12,Atlas Distribution,Drama,PG-13,3336053,419102
183,Last Ounce of Courage,9/14/12,Rocky Mountain Pictures,Drama,PG,3310439,415884
184,Robot and Frank,8/17/12,Samuel Goldwyn Films,Drama,PG-13,3298428,414375
185,Puss in Boots,10/28/11,Paramount Pictures,Adventure,PG,3250679,408376
186,Pina,12/23/11,IFC Films,Documentary,PG,3219417,404449
187,Celeste and Jesse Forever,8/3/12,Sony Pictures Classics,Romantic Comedy,R,3103407,389875
188,Jab Tak Hai Jaan,11/13/12,Yash Raj Films,Drama,Not Rated,3047539,382856
