rank,title,releasedOn,studio,genre,rating,revenue,tickets
338,Slaughter Creek,9/14/12,Nocturnal Features,Horror,Not Rated,136815,17187
339,The Lady,4/11/12,Cohen Media Group,Drama,R,135985,17083
340,The Other Dream Team,9/28/12,Film Arcade,Documentary,Not Rated,134109,16847
341,The Loneliest Planet,10/26/12,IFC Films,Drama,Not Rated,129579,16278
342,Arthur Christmas,11/23/11,Sony Pictures,Adventure,PG,124622,15656
343,How to Survive a Plague,9/21/12,IFC Films,Documentary,Not Rated,123814,15554
344,God Bless America,5/11/12,Magnet Pictures,Black Comedy,R,122550,15395
345,The Skin I Live In,10/14/11,Sony Pictures Classics,Drama,R,121070,15209
346,Bel Ami,6/8/12,Magnolia Pictures,Drama,R,120462,15133
347,Cowgirls n' Angels,5/25/12,Samuel Goldwyn Films,Drama,PG,119782,15047
348,On the Road,12/21/12,IFC Films,Drama,R,118140,14841
349,Any Day Now,12/14/12,Music Box Films,Drama,R,117292,14735
350,Therese Desqueyroux,11/30/12,Mongrel Media,Drama,Not Rated,115231,14476
351,The Perfect Family,5/4/12,Variance Films,Comedy,PG-13,110013,13820
352,Burn,11/9/12,Area 23a,Documentary,Not Rated,109656,13775
353,The Woman in the Fifth,6/15/12,ATO Pictures,Thriller/Suspense,R,107921,13557
354,Hello I Must Be Going,9/7/12,Oscilloscope Pictures,Drama,R,106709,13405
355,Inch'Allah,9/28/12,Entertainment One,Drama,R,104087,13076
356,The Obama Effect,7/13/12,ARC Entertainment,Comedy,PG-13,103000,12939
357,Wuthering Heights,10/5/12,Oscilloscope Pictures,Drama,Not Rated,100915,12677
358,V/H/S,10/5/12,Magnet Pictures,Horror,R,100345,12606
359,360,8/3/12,Magnolia Pictures,Thriller/Suspense,R,100343,12605
360,Hardflip,6/1/12,Rocky Mountain Pictures,Drama,PG-13,96734,12152
361,Footloose,10/14/11,Paramount Pictures,Musical,PG-13,96238,12090
362,The Awakening,8/17/12,Cohen Media Group,Horror,R,95933,12051
363,"Wild Horse, Wild Ride",8/24/12,Screen Media Films,Documentary,PG,94621,11887
364,The Road,5/11/12,Freestyle Releasing,Horror,R,92476,11617
365,Escape Fire: The Fight to Rescue American Healthcare,10/5/12,Roadside Attractions,Documentary,PG-13,84898,10665
366,Margin Call,10/21/11,Roadside Attractions,Drama,R,84088,10563
367,A Very Harold & Kumar 3D Christmas,11/4/11,Warner Bros.,Comedy,R,83255,10459
368,Hating Breitbart,10/19/12,Freestyle Releasing,Documentary,R,81432,10230
369,Albert Nobbs,12/21/11,Roadside Attractions,Drama,R,80599,10125
370,Starlet,11/9/12,Music Box Films,Drama,Not Rated,79895,10037
371,The Innkeepers,2/3/12,Magnolia Pictures,Horror,R,78396,9848
372,The Island President,3/28/12,Samuel Goldwyn Films,Documentary,PG,75233,9451
373,Butter,10/5/12,Weinstein Co.,Comedy,R,73000,9170
374,The Ides of March,10/7/11,Sony Pictures,Drama,R,71199,8944
375,On the Ice,2/17/12,PMK*BNC,Thriller/Suspense,R,70526,8860
376,My Way,4/20/12,PMK*BNC,Drama,R,70177,8816
377,The Details,11/2/12,Weinstein Co.,Black Comedy,R,63595,7989
378,Deadfall,12/7/12,Magnolia Pictures,Thriller/Suspense,Not Rated,62411,7840
379,Martha Marcy May Marlene,10/21/11,Fox Searchlight,Thriller/Suspense,R,61990,7787
380,Le prénom,11/16/12,Pathe Contemporary Films,,Not Rated,61611,7740
381,Backwards,9/21/12,Dada Films,Comedy,PG,61465,7721
382,Beyond the Black Rainbow,5/18/12,Mongrel Media,Drama,R,56491,7096
383,A Beautiful Soul,5/4/12,Tyscot Manhaddon,Drama,PG-13,54008,6784
384,Beware of Mr. Baker,11/30/12,SnagFilms,Documentary,Not Rated,53087,6669
385,An Inconsistant Truth,1/27/12,Rocky Mountain Pictures,Documentary,PG,52756,6627
386,Being Elmo: A Puppeteer's Journey,10/21/11,Submarine Deluxe,Documentary,PG,50608,6357
387,The Fitzgerald Family Christmas,12/7/12,TriBeca Films,Drama,PG-13,50292,6318
388,Red Lights,7/13/12,Millennium Entertainment,Thriller/Suspense,R,49521,6221
389,Wake in Fright,10/5/12,Drafthouse Films,Thriller/Suspense,R,49458,6213
390,Take Shelter,9/30/11,Sony Pictures Classics,Drama,R,49347,6199
391,Intruders,3/30/12,Millennium Entertainment,Horror,R,48366,6076
392,Deep in the Heart,2/17/12,ARC Entertainment,Drama,PG-13,47700,5992
393,Natural Selection,3/16/12,Cinema Guild,Comedy,R,46635,5858
394,The War of the Buttons,10/12/12,Weinstein Co.,Adventure,Not Rated,45602,5728
395,The Comedy,11/9/12,TriBeca Films,Comedy,Not Rated,41113,5164
396,Last Call at the Oasis,5/4/12,Participant Media,Documentary,PG-13,40846,5131
397,Miss Bala,1/20/12,Mongrel Media,Drama,R,40540,5092
398,All Together,10/19/12,Kino Lorber,Comedy,Not Rated,40103,5038
399,Soldiers of Fortune,8/3/12,Roadside Attractions,,R,38898,4886
400,Paul Williams Still Alive,6/1/12,Abramorama Films,Documentary,PG-13,38691,4860
401,This Is Not a Film,3/2/12,Palisades,Documentary,Not Rated,37706,4736
402,Aiyaa,10/11/12,UTV Communications,,Not Rated,36967,4644
403,The Inbetweeners,9/7/12,Wrekin Hill Entertainment,Comedy,R,35955,4516
404,Paranormal Activity 3,10/21/11,Paramount Pictures,Horror,R,35568,4468
405,Comic-Con Episode IV: A Fan's Hope,4/6/12,Wrekin Hill Entertainment,Documentary,PG-13,34665,4354
406,My Reincarnation,10/28/11,Long Shot Factory,Documentary,R,34574,4343
407,Vulgaria,9/28/12,China Lion Film Distribution,Comedy,Not Rated,33700,4233
408,Addiction Incorporated,12/14/11,Variance Films,Documentary,PG,33664,4229
409,District of Corruption,10/26/12,Rocky Mountain Pictures,,Not Rated,31954,4014
410,Musical Chairs,3/23/12,Paladin,Drama,PG-13,31478,3954
411,West of Memphis,12/25/12,Sony Pictures Classics,Documentary,R,31476,3954
412,L!fe Happens,4/13/12,PMK*BNC,Comedy,R,30905,3882
413,Gregory Crewdson: Brief Encounters,11/2/12,Zeitgeist,Documentary,Not Rated,30717,3858
414,The Bay,11/2/12,Roadside Attractions,Horror,R,30668,3852
415,Hide Away,5/25/12,Joule Films,Drama,PG-13,30655,3851
416,Just Another Love Story,1/9/09,Koch Lorber Films,Drama,Not Rated,29630,3722
417,Meet the Fokkens,8/8/12,Kino Lorber,Documentary,Not Rated,29357,3688
418,Wagner & Me,12/7/12,First Run Features,Documentary,Not Rated,29187,3666
419,Least Among Saints,10/12/12,Brainstorm Media,Drama,R,28026,3520
420,Klown: The Movie,7/27/12,Drafthouse Films,Black Comedy,R,28000,3517
421,Mighty Fine,5/25/12,Adopt Films,Drama,R,27900,3505
422,Sacrifice,4/26/11,Millennium Entertainment,,R,27899,3504
423,Nobody Walks,10/19/12,Magnolia Pictures,Drama,R,25342,3183
424,Orchestra of Exiles,10/26/12,First Run Features,Documentary,Not Rated,24710,3104
425,Sound of Noise,3/9/12,Magnolia Pictures,Comedy,R,24565,3086
426,Keyhole,4/6/12,Monterey Media,Thriller/Suspense,R,22393,2813
427,The Guard,7/29/11,Sony Pictures Classics,Comedy,R,21619,2715
428,North Sea Texas,11/2/12,Strand,,Not Rated,21615,2715
429,Lay the Favorite,12/7/12,Radius,Comedy,R,20998,2637
430,The Day,8/29/12,Anchor Bay Entertainment,Thriller/Suspense,R,20984,2636
431,Carol Channing: Larger Than Life,1/20/12,Entertainment One,Documentary,PG,20370,2559
432,The Whale,9/9/11,Paladin,Documentary,G,19722,2477
433,Radio Unnameable,9/19/12,Kino Lorber,Documentary,Not Rated,19676,2471
434,Waiting for Lightning,12/7/12,Samuel Goldwyn Films,Documentary,PG-13,19537,2454
435,28 Hotel Rooms,11/9/12,Oscilloscope Pictures,Drama,Not Rated,18869,2370
436,The Revisionaries,10/5/12,Kino Lorber,Documentary,Not Rated,18509,2325
437,Mansome,5/18/12,Paladin,Documentary,PG-13,18395,2310
438,The Divide,1/13/12,Anchor Bay Entertainment,Thriller/Suspense,R,18000,2261
439,4:44 Last Day on Earth,3/23/12,IFC Films,Drama,R,17801,2236
440,The First Time,10/19/12,Samuel Goldwyn Films,Romantic Comedy,PG-13,17061,2143
441,Dangerous Liaisons,11/9/12,Well Go USA,Drama,Not Rated,17000,2135
442,Little Birds,8/29/12,Millennium Entertainment,Drama,R,16594,2084
443,Alps,7/13/12,Kino Lorber,Drama,Not Rated,16057,2017
444,Before My Heart Falls,11/16/12,Mongrel Media,Documentary,Not Rated,15753,1979
445,Take Me Home,4/6/12,Monterey Media,Romantic Comedy,PG-13,15374,1931
446,Trade of Innocents,10/5/12,Monterey Media,Thriller/Suspense,PG-13,15091,1895
447,30 Beats,7/20/12,Roadside Attractions,Drama,R,14686,1844
448,Like Crazy,10/28/11,Paramount Pictures,Drama,PG-13,14619,1836
449,Trastana,9/21/70,,Drama,PG-13,14586,1832
450,Silent Night,11/30/12,Anchor Bay Entertainment,Horror,R,14568,1830
451,Gayby,10/12/12,The Film Collaborative,Comedy,Not Rated,14062,1766
452,6 Month Rule,6/1/12,Secret Identity Productions,Comedy,R,14057,1765
453,Head Games,9/21/12,Variance Films,Documentary,PG-13,14056,1765
454,Jesus Henry Christ,4/20/12,Entertainment One,Drama,PG-13,13714,1722
455,Reuniting the Rubins,3/16/12,Monterey Media,Comedy,PG,13569,1704
456,Outrage,12/2/11,Magnolia Pictures,Drama,R,13149,1651
457,The Trouble With Bliss,3/23/12,7A Productions,Comedy,PG-13,13093,1644
458,Citadel,11/9/12,Cinedigm,Horror,R,12995,1632
459,California Solo,11/30/12,Strand,Drama,Not Rated,12952,1627
460,The End of Time,6/30/13,First Run Features,Documentary,Not Rated,12835,1612
461,Blackthorn,10/7/11,Magnolia Pictures,Adventure,R,11841,1487
462,Dragon,11/30/12,Weinstein Co.,Action,R,11300,1419
463,Special Forces,10/12/12,Entertainment One,Action,R,10759,1351
464,A Little Bit of Heaven,5/4/12,Millennium Entertainment,Romantic Comedy,PG-13,10011,1257
465,The Do-Deca Pentathlon,7/6/12,Red Flag Releasing,Comedy,R,10000,1256
466,Beneath the Darkness,1/6/12,Image Entertainment,Thriller/Suspense,R,9600,1206
467,[REC] 3: Genesis,9/7/12,Magnet Pictures,Horror,R,9600,1206
468,Happy People: A Year in the Taiga,12/9/11,Mongrel Media,Documentary,Not Rated,9523,1196
469,BRO',6/22/12,,Action,R,9329,1171
470,Decoding Deepak,10/5/12,SnagFilms,Documentary,Not Rated,9050,1136
471,Letters to Elena,6/8/12,Freestyle Releasing,Drama,PG,8511,1069
472,In Another Country,11/9/12,Kino Lorber,,Not Rated,8451,1061
473,Brooklyn Brothers Beat the Best,9/21/12,Oscilloscope Pictures,Comedy,Not Rated,8418,1057
474,Roadie,1/6/12,Magnolia Pictures,Drama,Not Rated,7825,983
475,Photographic Memory,10/12/12,First Run Features,Documentary,Not Rated,7711,968
476,Bel Borba Aqui,10/3/12,Abramorama Films,Documentary,Not Rated,7426,932
477,Price Check,11/16/12,IFC Films,Comedy,Not Rated,7413,931
478,The Giant Mechanical Man,4/27/12,TriBeca Films,Romantic Comedy,PG-13,7396,929
479,Hitler's Children,11/16/12,Film Movement,Documentary,Not Rated,6923,869
480,The Last Fall,10/26/12,,,Not Rated,6568,825
481,In Our Nature,12/7/12,Cinedigm,Drama,Not Rated,6543,821
482,Grassroots,6/22/12,Samuel Goldwyn Films,Comedy,R,6497,816
483,Django,12/21/12,Rialto Pictures,Western,Not Rated,6150,772
484,Tchoupitoulas,12/7/12,Oscilloscope Pictures,Documentary,Not Rated,6011,755
485,Bienvenue parmi nous,10/7/12,Mongrel Media,,Not Rated,5912,742
486,The Last Ride,6/22/12,Category One,Drama,PG-13,5887,739
487,The Babymakers,8/3/12,Millennium Entertainment,Comedy,R,5783,726
488,Save the Date,12/14/12,IFC Films,Romantic Comedy,R,5719,718
489,The Man Who Shook the Hand of Vicente Fernandez,12/7/12,Indican Pictures,Comedy,Not Rated,5609,704
490,Young and Wild,11/30/12,IFC Films,Drama,Not Rated,5514,692
491,Universal Soldier: Day of Reckoning,11/30/12,Magnet Pictures,Action,R,5460,685
492,The Good Doctor,8/31/12,Magnolia Pictures,Drama,PG-13,5206,654
493,A Liar's Autobiography - The Untrue Story of Monty Python's Graham Chapman,11/2/12,Brainstorm Media,Comedy,R,5102,640
494,Pusher,10/26/12,Radius,Thriller/Suspense,R,5040,633
495,Bringing Up Bobby,9/28/12,Monterey Media,Drama,PG-13,4975,625
496,Tomorrow When the War Began,2/24/12,Freestyle Releasing,Action,R,4936,620
497,Brake,3/23/12,IFC Films,Thriller/Suspense,R,4876,612
498,Newlyweds,1/13/12,TriBeca Films,Comedy,R,4584,575
499,Tonight You're Mine,5/11/12,Roadside Attractions,Romantic Comedy,R,4321,542
500,The Rabbi's Cat,12/7/12,GKIDS,Adventure,Not Rated,4301,540
501,The Lion King 3D,9/16/11,Walt Disney,Adventure,G,4271,536
502,Only the Young,12/7/12,Oscilloscope Pictures,Documentary,Not Rated,4038,507
503,The Moth Diaries,4/20/12,IFC Films,Horror,R,3838,482
504,Amigo,8/19/11,Variance Films,Drama,R,3811,478
505,Let Fury Have the Hour,12/14/12,CAVU Releasing,Documentary,Not Rated,3386,425
506,Vamps,11/2/12,Anchor Bay Entertainment,Romantic Comedy,PG-13,3361,422
507,Terkel in Trouble,3/26/10,,Adventure,Not Rated,3259,409
508,Miss Minoes,12/23/11,Music Box Films,Adventure,PG,3061,384
509,ATM,4/6/12,IFC Films,Thriller/Suspense,R,3010,378
510,Free Radicals,8/3/04,Kino International,Drama,Not Rated,2954,371
511,Cheerful Weather for the Wedding,12/7/12,IFC Films,Romantic Comedy,PG,2651,333
512,The Samaritan,5/18/12,IFC Films,Thriller/Suspense,R,2521,316
513,Why Stop Now,8/17/12,IFC Films,Comedy,R,2432,305
514,The Monk,3/8/13,ATO Pictures,Thriller/Suspense,R,2164,271
515,Bad Blood The Hunger,10/26/12,Garvity Arch,Horror,R,1872,235
516,My Worst Nightmare,10/19/12,Strand,Comedy,Not Rated,1810,227
517,Perfect Sense,2/10/12,IFC Films,Drama,R,1567,196
518,Bestiare,10/19/12,Zeitgeist,Documentary,Not Rated,1428,179
519,A Green Story,11/16/12,Indican Pictures,Drama,Not Rated,1395,175
520,I Kissed a Vampire,3/30/12,Monterey Media,Musical,PG,1380,173
521,Jack and Diane,11/2/12,Magnolia Pictures,Drama,R,1142,143
522,Jason Becker: Not Dead Yet,12/14/12,Kino Lorber,Documentary,Not Rated,1094,137
523,The Decoy Bride,3/9/12,IFC Films,Comedy,PG,759,95
524,Nature Calls,11/9/12,Magnet Pictures,Comedy,R,646,81
525,Gottfried Helnwein and the Dreaming Child,11/23/12,First Run Features,Documentary,Not Rated,601,75
526,Into the Abyss,11/11/11,IFC Films,Documentary,PG-13,540,68
527,Meeting Evil,5/4/12,Magnet Pictures,Drama,R,525,65
528,Angels Crest,12/30/11,Magnolia Pictures,Drama,R,425,54
529,Playback,3/16/12,Magnet Pictures,Horror,R,264,33
530,Apartment 143,6/1/12,Magnolia Pictures,Horror,R,256,32
